"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"15343";"«Покровское-Глебово (пос.)», Волоколамское шоссе (в центр)";"37.469423392105";"55.8144206516219";"Волоколамское шоссе";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Тб70; А412; А456; А88; АМ1";"Покровское-Глебово (пос.)";"в центр";"да";"ООО «Праймсайт»";"активна";"1725502";"{type=Point, coordinates=[37.4694234232887, 55.8144202838152]}";
"15344";"«Тушинская ул.», улица Свободы (в центр) (1)";"37.451403819932";"55.8248141398397";"улица Свободы";"Северо-Западный административный округ";"район Покровское-Стрешнево";"А248; Тб70";"Тушинская ул.";"в центр";"нет";"";"активна";"1725503";"{type=Point, coordinates=[37.4514038513296, 55.8248137721364]}";
"15930";"«Госпитальный пер.», Малая Почтовая улица (в центр)";"37.685882316636";"55.7705408165173";"Малая Почтовая улица";"Центральный административный округ";"Басманный район";"А78";"Госпитальный пер.";"в центр";"нет";"";"активна";"1725504";"{type=Point, coordinates=[37.6858823476017, 55.7705404482868]}";
"15932";"«Метро Ясенево (выс.)», Новоясеневский проспект (в центр)";"37.533172114543";"55.6052909381678";"Новоясеневский проспект";"Юго-Западный административный округ";"район Ясенево";"А961";"Метро Ясенево (выс.)";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725505";"{type=Point, coordinates=[37.5331721444172, 55.6052905687593]}";
"15933";"«Пр. Олимпийской Деревни», проезд Олимпийской Деревни (в центр)";"37.4667885542986";"55.6711024629453";"проезд Олимпийской Деревни";"Западный административный округ";"район Тропарёво-Никулино";"А667; А227";"Пр. Олимпийской Деревни";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725506";"{type=Point, coordinates=[37.466788585166, 55.6711020939661]}";
"15934";"«2-я Лыковская ул.», улица Маршала Прошлякова (в центр)";"37.3981187691817";"55.7888743683775";"улица Маршала Прошлякова";"Северо-Западный административный округ";"район Строгино";"А782Ф";"2-я Лыковская ул.";"в центр";"нет";"";"активна";"1725507";"{type=Point, coordinates=[37.3981188005238, 55.788874000448]}";
"15935";"«Метро Выхино (выс.)», улица Красный Казанец (от центра)";"37.8164982654714";"55.7173669113963";"улица Красный Казанец";"Восточный административный округ";"район Вешняки";"А197; А285; А613; А615; А620; А697";"Метро Выхино (выс.)";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725508";"{type=Point, coordinates=[37.8164982960841, 55.7173665425606]}";
"11202";"«Детский сад», Загорьевский проезд (от центра)";"37.69445954";"55.5850375";"Загорьевский проезд";"Южный административный округ";"район Бирюлёво Восточное";"А693; А679";"Детский сад";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725509";"{type=Point, coordinates=[37.6944595702505, 55.585037130387]}";
"11203";"«Загорьевский пр.», Загорьевская улица (в центр)";"37.6980315241923";"55.5838367417778";"Загорьевская улица";"Южный административный округ";"район Бирюлёво Восточное";"А679; А693";"Загорьевский пр.";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725510";"{type=Point, coordinates=[37.6980315547845, 55.5838363725283]}";
"11204";"«Бережковская наб., 4», Бережковская набережная (в центр)";"37.5690158801056";"55.7410200842428";"Бережковская набережная";"Западный административный округ";"район Дорогомилово";"А119; А205; А205КФ; А791; А91; АН1; Тб17; Тб34; Тб34К; Тб7";"Бережковская наб., 4";"в центр";"нет";"";"активна";"1725511";"{type=Point, coordinates=[37.5690159109716, 55.7410197158537]}";
